Sofascore_Name,id,minutes,SoT,Shots,Tackles,fouls_commited,fouls_received,Goals,xG,Assists,xA,round,Match
Antonee Robinson,803174,90.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.131087,28,Wolverhampton - Fulham
Harrison Reed,365802,61.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.311433,28,Wolverhampton - Fulham
Saša Lukić,371222,69.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0595,0.0,0.0,28,Wolverhampton - Fulham
Harry Wilson,355528,70.0,0.0,3.0,0.0,1.0,0.0,0.0,0.5326,0.0,0.0380043,28,Wolverhampton - Fulham
Andreas Pereira,285949,61.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0701,0.0,0.0466162,28,Wolverhampton - Fulham
Alex Iwobi,352770,90.0,2.0,4.0,1.0,0.0,0.0,1.0,0.5587,0.0,0.36085,28,Wolverhampton - Fulham
Rodrigo Muniz,1015256,90.0,2.0,7.0,0.0,3.0,1.0,0.0,0.5821,0.0,0.0,28,Wolverhampton - Fulham
Willian,31417,29.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0443,0.0,0.597074,28,Wolverhampton - Fulham
Tom Cairney,82566,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Wolverhampton - Fulham
João Palhinha,364612,21.0,1.0,3.0,1.0,2.0,1.0,0.0,0.6341,0.0,0.00727267,28,Wolverhampton - Fulham
Adama Traoré,286165,20.0,1.0,2.0,1.0,0.0,1.0,0.0,0.08,0.0,0.184317,28,Wolverhampton - Fulham
Armando Broja,996985,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0127399,28,Wolverhampton - Fulham
Marek Rodák,358694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Wolverhampton - Fulham
Kenny Tete,190877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Wolverhampton - Fulham
Tim Ream,118179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Wolverhampton - Fulham
Bobby Decordova-Reid,151499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Wolverhampton - Fulham
Aaron Ramsdale,839410,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28,Arsenal - Brentford
