"","id","Date","Time","Competition","Gameweek","Team","Opponent","Venue","ForAgainst","Result","Yellow_Cards","Red_Cards","Season"
"9824",9825,"2023-04-16","16:30","Liga Argentina","Matchweek 12","Independiente","Racing Club","Home","For","D",4,0,2023
"9825",9826,"2023-04-23","20:30","Liga Argentina","Matchweek 13","Independiente","River Plate","Away","For","L",3,1,2023
"9826",9827,"2023-04-30","18:00","Liga Argentina","Matchweek 14","Independiente","Belgrano","Home","For","W",1,0,2023
"9827",9828,"2023-05-06","20:30","Liga Argentina","Matchweek 15","Independiente","Arg Juniors","Away","For","D",3,0,2023
"9828",9829,"2023-05-13","15:30","Liga Argentina","Matchweek 16","Independiente","Tigre","Home","For","W",2,0,2023
"9829",9830,"2023-05-18","21:00","Liga Argentina","Matchweek 17","Independiente","Arsenal","Away","For","L",4,0,2023
"9830",9831,"2023-05-27","20:30","Liga Argentina","Matchweek 18","Independiente","Lanús","Home","For","D",2,0,2023
"9831",9832,"2023-06-04","17:00","Liga Argentina","Matchweek 19","Independiente","Godoy Cruz","Away","For","L",2,0,2023
"9832",9833,"2023-06-09","20:00","Liga Argentina","Matchweek 20","Independiente","Sarmiento","Home","For","W",0,0,2023
"9833",9834,"2023-06-24","17:00","Liga Argentina","Matchweek 21","Independiente","Unión","Away","For","L",5,1,2023
"9834",9835,"2023-07-02","15:00","Liga Argentina","Matchweek 22","Independiente","Huracán","Home","For","W",3,0,2023
"9835",9836,"2023-07-07","19:00","Liga Argentina","Matchweek 23","Independiente","Gimnasia–LP","Away","For","D",2,0,2023
"9836",9837,"2023-07-11","20:00","Liga Argentina","Matchweek 24","Independiente","Newell's OB","Home","For","L",1,0,2023
"9837",9838,"2023-07-16","21:30","Liga Argentina","Matchweek 25","Independiente","Cen. Córdoba–SdE","Away","For","W",2,1,2023
"9838",9839,"2023-07-23","16:30","Liga Argentina","Matchweek 26","Independiente","Atlé Tucumán","Away","For","L",4,0,2023
"9839",9840,"2023-07-29","17:00","Liga Argentina","Matchweek 27","Independiente","Boca Juniors","Home","For","L",5,0,2023
"9840",9841,"2023-08-19","16:30","Copa de la Liga Profesional","Group stage","Independiente","Colón","Home","For","L",1,0,2023
"9841",9842,"2023-08-27","19:15","Copa de la Liga Profesional","Group stage","Independiente","Vélez Sarsfield","Home","For","W",4,0,2023
"9842",9843,"2023-09-02","15:00","Copa de la Liga Profesional","Group stage","Independiente","Gimnasia–LP","Away","For","W",3,0,2023
"9843",9844,"2023-09-14","21:00","Copa de la Liga Profesional","Group stage","Independiente","Huracán","Home","For","W",5,0,2023
"9844",9845,"2023-09-19","21:00","Copa de la Liga Profesional","Group stage","Independiente","Rosario Central","Away","For","D",3,0,2023
"9845",9846,"2023-09-24","15:00","Copa de la Liga Profesional","Group stage","Independiente","Instituto","Home","For","D",3,0,2023
"9846",9847,"2023-09-30","19:00","Copa de la Liga Profesional","Group stage","Independiente","Racing Club","Away","For","W",3,0,2023
"9847",9848,"2023-10-07","21:30","Copa de la Liga Profesional","Group stage","Independiente","Arg Juniors","Away","For","D",4,0,2023
"9848",9849,"2023-10-18","21:00","Copa de la Liga Profesional","Group stage","Independiente","Barracas Central","Home","For","W",1,0,2023
"9849",9850,"2023-10-25","21:00","Copa de la Liga Profesional","Group stage","Independiente","River Plate","Away","For","L",3,0,2023
"9850",9851,"2023-10-29","21:00","Copa de la Liga Profesional","Group stage","Independiente","Arsenal","Home","For","D",1,0,2023
"9851",9852,"2023-11-04","21:00","Copa de la Liga Profesional","Group stage","Independiente","Atlé Tucumán","Away","For","W",3,0,2023
"9852",9853,"2023-11-12","19:00","Copa de la Liga Profesional","Group stage","Independiente","Banfield","Home","For","D",1,0,2023
